Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
595,757,707,656,807,860,1039,1152,1091,1202,638,749,697,1107,1044,1222,1168,905,852,802,2158,2673,2916,2870,2734,2825,2961,3006,3059,3100,516,573,760,813,868,918,969,1025,1095,1147,1842,1934,2021,2126,2207,2302,2391,2482,2564,2655,2843,2917,2995,3050,3156,3244,3310,3365,3830,5031,874,932,1052,990,1108,1165,1218,1269,1368,1429,878,932,982,1031,1079,1127,1176,1224,1269,1408,586,645,704,763,816,1126,1182,1233,1015,1070,4347,5066,5129,5804,5726,5188,5623,5910,4988,6053
550,732,667,610,787,839,886,1080,1033,1136,623,742,687,1230,1051,1177,1119,916,860,805,2495,2562,2775,2721,2665,2981,3035,3089,2916,3143,556,617,674,729,877,932,987,1048,1099,1146,773,834,894,948,995,1044,1091,1138,1231,1289,465,516,565,611,656,864,906,951,809,999,667,718,811,766,860,1097,953,1156,1222,1287,453,517,575,632,688,931,992,1049,1105,1160,543,604,659,715,782,1023,1144,1200,957,1078,532,20527,20569,21056,21005,20910,20960,21105,732,833
591,749,701,645,792,846,993,1102,1047,1155,529,631,580,1054,903,1008,959,786,739,687,561,609,818,767,723,675,864,911,954,1007,493,550,597,643,827,886,941,1000,1055,1115,774,833,887,939,992,1038,1210,1277,1322,1377,492,547,600,651,698,917,967,1016,859,1066,652,704,812,761,867,918,966,1018,1138,1194,649,710,904,957,1012,1072,1132,1300,1186,1237,483,537,587,653,703,934,983,1027,873,1075,392,736,783,1272,1227,1130,1181,1317,1073,1365
546,800,647,600,847,896,945,1059,1007,1110,734,868,804,1397,1225,1344,1291,1049,990,930,1495,1596,1880,1783,1689,2171,2229,2307,2092,1980,547,607,796,857,917,972,1026,1080,1135,1189,584,637,684,730,1679,1750,1812,1866,1935,1991,1908,1964,2017,2067,2125,2178,2230,2282,2344,2402,650,720,842,781,895,1076,1134,1182,1228,1293,1402,1560,1673,1773,1887,2394,2297,2206,2115,2017,561,622,674,729,779,1034,1145,1200,968,1088,1656,22074,22325,22538,22490,22382,22438,22583,1849,1910
480,639,587,534,693,963,1023,1133,1080,1202,629,741,687,1260,1071,1195,1136,906,852,797,2008,2090,2324,2266,2208,2150,2382,2441,2500,2550,580,632,673,723,772,822,871,975,1024,1076,685,747,805,862,916,968,1019,1183,1236,1298,1690,1746,1794,1850,1903,2015,2063,2110,1953,2156,797,856,966,912,1020,1075,1134,1190,1243,1298,404,464,520,575,712,763,968,812,860,911,724,800,852,905,956,1227,1282,1066,1118,1169,1326,1585,1951,2117,2076,1993,2032,2156,2197,2243
505,605,574,542,713,745,776,843,812,873,419,479,685,972,916,1028,872,827,783,738,634,702,925,871,811,1116,1168,1232,1059,1290,432,466,496,527,558,613,798,863,917,981,663,714,761,811,863,912,1116,1174,1234,1305,735,797,858,919,975,1222,1273,1321,1156,1372,538,600,710,658,974,1029,1086,1149,1211,1289,567,633,687,736,871,922,1174,973,1026,1091,449,485,517,547,577,714,758,863,677,912,686,20680,20727,20910,20855,21126,21176,21326,948,1018
681,1041,825,759,1109,1192,1253,1389,1319,1451,521,638,580,1053,996,1183,1123,939,879,822,505,559,746,698,645,923,971,1019,868,1068,514,570,623,676,730,926,980,1033,1080,1139,791,855,906,950,996,1042,1089,1215,1262,1319,661,724,782,840,900,1199,1261,1066,1128,1325,660,711,817,763,873,1106,970,1160,1211,1269,625,683,738,798,962,1027,1267,1087,1145,1204,699,762,823,883,1099,1263,1315,1364,1152,1200,503,917,958,1158,1109,1301,1346,1388,1249,1438
690,872,822,769,924,984,1154,1217,1299,1356,508,621,574,987,926,1240,1174,1120,1058,677,596,647,822,777,731,1008,868,913,957,1055,473,534,591,647,692,924,987,1047,1100,1161,773,839,901,962,1023,1079,1129,1185,1347,1410,430,481,526,570,617,810,861,908,1008,953,574,631,748,689,811,1077,1141,1203,1264,1341,556,606,759,812,883,933,1136,984,1033,1082,474,895,957,1023,1085,1151,1215,1281,1349,1424,505,20637,20705,21347,21282,21149,21216,21414,772,847
455,757,546,504,802,1411,1482,1598,1547,1656,987,1084,1386,1299,1195,1844,1751,1663,1577,1473,661,715,909,857,804,1047,1099,1282,1155,1209,1280,1331,1463,1516,1567,1620,1674,1741,1911,1794,1814,1883,1945,2002,2074,2132,2365,2416,2463,2527,702,765,827,887,949,1215,1275,1333,1139,1393,1298,1356,1464,1407,1525,1575,1626,1677,1738,1792,1885,1955,2007,2071,2139,2369,2428,2297,2485,2536,1820,1873,1919,1966,2096,2301,2362,2142,2198,2245,472,936,1002,1576,1520,1397,1462,1636,1696,1766
563,734,676,621,941,1000,1076,1184,1130,1250,513,617,893,1061,1006,1261,1209,1162,1117,950,473,529,705,660,614,876,922,967,823,1011,662,736,801,866,1033,1094,1153,1215,1353,1274,712,773,827,878,922,966,1016,1065,1161,1222,543,593,639,689,739,982,826,876,925,1032,676,740,838,791,889,941,989,1140,1189,1244,534,584,630,686,720,806,933,837,868,898,605,664,719,774,830,1091,1214,970,1028,1150,445,20603,20649,20813,20765,21035,21088,21233,615,668
