Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
3161,3700,595,710,4648,5659,3938,4190,482,603,651,737,512,621,484,604,611,754,6359,6604
798,918,7906,8155,693,836,777,913,4439,4695,6995,8142,5995,6259,4889,5697,7066,7425,709,855
726,867,608,734,860,1011,720,821,606,753,687,825,635,771,702,788,609,866,809,967
1612,1874,608,755,1995,2489,1442,1898,706,854,845,950,879,1016,847,1006,777,950,2451,3564
1724,1995,1422,1652,1006,1244,1304,1565,2906,3162,3300,4542,3397,3639,2643,2977,1700,1948,1496,1742
1171,1383,1745,1910,1271,1505,1167,1414,1428,1670,1228,1458,1421,1627,1119,1943,1393,1631,1263,1509
489,560,973,1194,412,487,467,560,1097,1482,1237,1518,1032,1262,1206,1505,1231,1552,372,430
722,856,417,496,739,916,853,1004,408,480,407,508,395,467,389,472,365,472,794,940
315,385,680,835,365,449,382,451,692,801,726,872,635,791,729,872,833,990,415,494
479,531,340,405,436,514,567,616,364,425,429,616,331,412,441,743,296,422,397,449
1059,1320,343,392,963,1200,1234,1506,425,516,408,503,347,418,386,479,260,327,1019,1285
1020,1257,1018,1250,1024,1265,1224,1437,1086,1312,1139,1302,966,1251,983,1210,1061,1348,1370,1572
929,1067,1050,1275,745,887,777,879,1191,1460,1137,1370,1097,1401,982,1199,1000,1210,885,1078
637,736,690,795,616,756,783,916,736,884,928,1109,642,854,772,872,801,952,604,731
738,1080,558,638,781,982,853,1025,513,591,697,833,433,512,636,735,550,663,1001,1193
1909,2182,651,747,3122,3381,1213,1450,780,977,1008,1209,1038,1230,963,1165,857,1020,3188,3386
511,588,2772,3002,451,556,519,609,2590,2936,2126,2370,2179,2670,2751,2976,2622,2872,672,791
1083,1260,627,750,1074,1297,1321,1514,480,632,719,827,474,584,497,623,560,662,1396,1691
11320,11574,1495,1824,3008,3240,1990,2330,1253,1532,1176,1659,1211,1421,1088,1332,1708,1911,2168,2413
670,754,2391,2647,712,895,583,712,2065,2421,8972,9626,5359,5655,5056,5512,2058,2557,768,915
892,1004,638,756,751,899,636,765,542,651,651,730,635,745,725,846,655,831,1032,1167
836,944,959,1188,801,953,659,805,781,928,830,927,773,920,623,756,598,686,1058,1211
785,895,1068,1215,1376,1624,976,1162,874,1014,857,961,721,865,858,1076,698,824,1991,2367
734,812,1483,1748,618,730,721,840,2000,2254,778,901,2161,2426,2223,2481,1499,1759,623,776
655,747,571,693,670,1053,728,840,548,671,651,748,515,622,629,735,585,709,838,971
732,835,1186,1337,712,865,643,723,787,893,661,769,738,856,1257,1411,1060,1200,613,742
610,710,649,776,617,744,614,697,647,738,684,780,552,668,668,791,579,701,591,742
742,859,556,678,637,769,562,642,646,766,507,611,553,675,657,782,652,781,481,600
792,890,537,632,690,826,585,679,624,753,650,773,507,593,619,713,602,739,500,577
764,852,513,626,600,717,535,615,623,752,738,834,506,626,716,851,684,816,560,669
676,761,530,655,666,791,682,770,631,763,675,762,542,629,651,770,660,784,683,832
680,768,625,727,830,960,641,769,690,821,620,719,558,678,553,687,635,761,639,795
616,709,670,788,532,654,627,753,696,818,694,779,582,706,695,801,681,832,529,612
694,827,625,763,628,796,564,680,611,745,676,779,688,817,579,693,659,783,591,727
733,841,634,785,566,688,595,712,733,856,567,705,592,726,642,774,574,773,521,645
668,773,526,640,608,727,665,747,597,720,624,723,512,632,582,668,654,778,504,589
613,693,608,691,736,822,574,668,519,628,675,772,602,716,648,784,548,649,579,738
670,769,565,684,587,690,795,938,570,715,646,768,600,730,585,728,627,768,543,701
848,961,669,802,779,959,708,867,773,917,686,835,654,785,640,766,589,762,680,816
895,1035,673,818,1338,1600,1107,1350,996,1189,752,849,844,1049,777,935,794,900,1865,2158
1102,1304,1901,2309,2065,2648,1130,1361,1473,1871,977,1146,1854,2104,1123,1392,1375,1699,2044,2284
972,1131,1931,2149,1023,1195,742,895,2049,2277,982,1184,1904,2110,1013,1247,933,1141,1033,1202
791,895,920,1108,718,862,769,936,1114,1277,793,948,894,1057,896,1066,881,1083,718,860
1129,1364,686,834,1718,3519,1170,1330,712,894,798,945,630,783,627,722,726,846,3994,4211
798,906,3854,4098,908,1099,789,952,3207,3434,1190,1399,3099,3350,3732,4040,1345,1753,1299,1433
1132,1336,987,1359,1799,2011,2210,3094,1219,1388,827,1064,1124,1301,957,1120,846,957,2417,2662
629,744,2578,3462,532,663,590,704,3284,3717,1177,1525,2965,3209,1375,1965,916,1103,574,736
624,708,544,680,534,614,619,737,576,682,630,748,561,671,526,639,544,665,546,703
764,871,512,636,599,723,510,622,522,628,509,636,635,755,592,719,540,660,573,694
1388,1657,566,679,1853,2154,1058,1316,538,619,547,675,549,679,573,720,692,817,2016,2319
1260,1526,2149,2435,6429,7168,6499,6718,2189,2455,1146,1387,2048,2309,1773,2359,1219,1498,7680,8000
1171,1384,7859,8444,1079,1330,1090,1287,9492,9733,975,1192,9412,9645,10031,10289,2921,3123,1746,1984
1056,1310,1364,1593,1257,1463,824,999,1727,1929,1044,1185,1310,1586,1288,1543,941,1255,1198,1633
1386,1752,1526,1819,2854,3059,1879,3051,1631,1855,1181,1371,1205,1570,1431,1658,1140,1401,1855,2091
1255,1515,5979,6242,1505,1769,1105,1369,3472,4979,2078,2438,3592,5397,2754,3089,2771,3116,2190,2438
594,675,1935,2187,600,699,615,725,1195,1430,944,1095,1988,2194,1225,2240,1615,2038,618,742
679,789,542,666,664,760,699,782,528,634,643,729,482,586,546,621,618,772,654,822
800,960,573,652,517,598,616,734,492,575,639,756,514,597,597,675,677,773,673,757
747,879,589,688,579,667,699,816,509,629,638,757,508,613,664,793,579,702,594,718
601,725,609,688,1506,2293,947,1042,502,581,548,663,527,610,554,674,664,818,1708,2122
601,677,1529,1899,483,542,1119,1310,1570,1668,673,830,907,1608,1635,1874,1591,2995,337,392
1152,1376,319,376,2078,2342,1106,1360,312,379,438,499,295,350,454,556,419,496,2913,3196
1478,1966,3005,3202,4083,4254,724,889,2939,3209,1341,1578,2897,3150,3625,3888,2014,2282,2891,3100
512,615,3071,3282,396,454,474,549,2676,2826,2209,2872,3049,3213,2930,3119,2442,3784,473,582
973,1147,426,526,914,1147,1021,1215,353,413,540,602,488,566,397,457,399,496,983,1153
925,1129,833,999,973,1252,961,1163,916,1250,871,1027,1055,1299,953,1149,855,1061,962,1157
1345,1547,1089,1289,1306,1516,1724,2490,973,1090,790,932,1205,1435,1000,1181,1067,1239,1169,1761
464,548,2663,2851,393,471,365,443,2454,2889,1202,1384,2684,2855,1655,2429,1375,1575,284,360
492,580,295,355,451,514,510,596,313,381,400,449,351,426,399,468,326,401,475,566
716,846,510,596,629,719,510,626,401,492,535,608,483,591,540,632,530,629,648,782
783,892,569,705,598,688,579,683,545,662,553,682,699,851,686,838,657,800,634,728
664,756,648,793,728,863,582,707,591,708,724,847,636,758,702,851,583,745,686,826
907,1038,682,877,1203,1465,1060,1286,540,646,575,663,763,903,711,859,630,792,1410,1802
1184,1764,1963,2187,3608,3861,1506,1709,1550,1749,941,1081,1686,1888,1167,1869,1352,1572,2098,2356
1123,1301,1910,2192,1061,1294,917,1094,2016,2245,1599,1809,1493,1768,1511,2165,1282,1779,2054,2259
1139,1342,1190,1487,1063,1323,1120,1338,1716,1925,1174,1395,1877,2129,1841,2104,1401,1633,1105,1349
1348,1787,1516,1734,1253,1481,2128,2492,1168,1310,1050,1192,1446,1589,1428,1733,1542,1815,2722,2939
880,985,2405,2638,843,980,638,739,3798,4281,2007,2257,3947,4210,2935,3165,2849,3068,1072,1216
587,690,791,963,356,429,415,498,663,798,749,880,841,1013,1078,1253,950,1122,402,484
520,623,467,570,442,502,516,634,434,511,440,525,426,524,500,600,405,492,405,486
760,869,433,497,725,888,799,969,364,444,517,615,400,474,392,488,375,459,893,1064
952,1097,854,1020,702,805,647,749,641,788,695,795,776,923,671,844,764,1003,1051,1195
822,938,884,1058,715,869,704,848,619,754,868,1029,926,1095,1034,1207,1001,1185,1075,1380
804,950,1227,1539,756,942,472,572,899,1040,743,904,1106,1271,867,1057,917,1044,2228,2510
415,489,1309,1436,359,429,401,483,2368,2468,1535,1726,1224,1549,2781,3062,2021,2133,340,403
605,713,335,409,584,681,497,582,248,295,325,373,352,435,387,457,379,460,504,619
931,1129,499,600,813,967,807,989,388,476,634,720,547,644,541,641,484,563,1438,1636
944,1076,1185,1372,950,1105,977,1142,890,1229,908,1078,1073,1335,1036,1252,1093,1297,1272,1458
1174,1400,1076,1292,1362,1537,1562,1963,1136,1317,900,1112,1449,1654,1142,1359,1087,1273,3869,4063
966,1098,2621,2815,916,1094,879,1066,5181,5464,1744,1944,5346,5561,5616,5834,7180,7460,977,1523
1117,1352,1063,1507,926,1250,854,973,1497,1656,958,1102,1567,1987,1199,1395,796,931,3346,3558
966,1175,3436,3659,802,1023,684,800,2851,3062,1057,1261,3456,3677,2380,2768,2952,3128,858,1136
861,1042,1249,1486,696,847,545,650,830,946,1057,1210,1297,1481,812,1221,817,1016,1175,1341
599,694,1123,1355,420,486,355,433,1252,1399,911,1076,1364,1834,1197,1337,998,1163,388,476
1519,2551,456,536,4660,4947,4038,4276,354,428,527,590,491,559,413,500,478,542,6517,6793
1368,1524,6204,6490,1066,1279,867,1062,6079,6348,3681,4161,4018,5488,4115,5615,4405,4924,2036,2253
1056,1223,1875,2127,917,1106,1029,1254,1497,1692,1277,1540,1658,2054,1549,2046,1116,1379,1080,1268
1433,1846,1213,1391,1171,1556,1184,1438,874,995,932,1094,1007,1175,1050,1223,738,879,1889,2087
2358,2632,2660,3095,1285,1475,806,953,3146,3400,1760,1980,2711,3108,1627,2695,1316,1822,1579,1750
846,1002,1262,1710,728,866,551,678,1405,1583,1584,1940,1745,2090,1698,1862,1862,2080,834,976
1282,1545,1100,1254,1259,1492,1151,1353,612,739,858,1000,1151,1296,717,1082,850,1067,3043,3681
1007,1179,3460,3696,722,888,641,799,3481,3714,1096,1355,2690,2926,3035,3251,2267,2499,1314,1480
1162,1298,1267,1416,925,1127,938,1111,984,1129,878,1055,1423,1608,732,994,940,1133,1474,1696
2040,2444,1750,1988,3269,3497,2870,3164,1507,1679,1043,1206,1487,1712,1625,1888,1161,1401,4454,4681
1364,1660,4645,4899,1483,1700,1834,2001,4375,4703,1937,2235,2925,3191,3377,3710,2756,2986,3970,4226
634,717,1810,2003,463,552,426,536,1912,2283,1177,1369,2958,3880,3015,3256,1568,2019,715,805
717,816,588,747,574,729,493,586,463,550,466,537,633,724,600,719,553,718,867,995
1514,2001,868,1066,7002,8255,6692,7119,521,625,672,764,1095,1235,725,855,894,1043,6132,7411
570,631,5890,6198,381,439,235,286,8055,8451,3910,4203,5889,6188,4277,4639,8404,8721,306,375
